Post,Year,Region,Female,Male,Total Volunteers at Post,Agriculture,Business Development,Education,Environment,Health & HIV/AIDS,Youth,Other,African American,Asian American,Caucasian,Hispanic,Mixed Ethnicity,Native American,No Response,20s,30s,40s,50s,60s,70s,80s
Eastern Caribbean,2009,IAP,51,22,73,,,12,,,60,1,7,4,45,4,1,,12,51,5,,8,8,1,
Eastern Caribbean,2010,IAP,88,36,124,,,10,,,103,11,13,6,81,7,3,,14,82,12,3,14,12,1,
Eastern Caribbean,2011,IAP,80,35,115,,,4,,,104,7,13,5,78,6,4,,9,71,19,2,7,15,1,
Eastern Caribbean,2012,IAP,64,34,98,,26,2,,,59,11,10,4,65,5,6,,8,66,13,2,7,9,1,
Ecuador,2009,IAP,104,48,152,37,2,,37,39,,37,2,8,114,15,2,,11,126,15,,7,4,,
Ecuador,2010,IAP,129,59,188,45,2,,42,58,,41,6,8,137,23,1,,13,176,8,1,2,1,,
Ecuador,2011,IAP,142,70,212,43,,23,43,64,,39,8,5,153,28,1,,17,196,7,1,5,1,2,
Ecuador,2012,IAP,100,46,146,17,,39,29,29,32,,6,2,104,23,1,,10,131,8,2,2,1,2,
El Salvador,2009,IAP,75,67,142,,34,,45,33,29,1,1,4,109,13,7,,8,132,5,2,2,,1,
El Salvador,2010,IAP,85,66,151,,25,,46,39,41,,2,3,116,16,5,,9,143,6,1,1,,,
El Salvador,2011,IAP,77,45,122,,28,,22,31,32,9,2,4,90,13,4,,9,111,8,,2,,1,
El Salvador,2012,IAP,15,10,25,,8,,2,7,6,2,,2,21,1,1,,,23,2,,,,,
Ethiopia,2009,AF,33,19,52,,,,,52,,,1,2,41,2,,,6,43,4,2,2,1,,
Ethiopia,2010,AF,50,51,101,,,,33,68,,,3,5,80,5,,1,7,83,7,3,4,4,,
Ethiopia,2011,AF,75,58,133,,,35,30,68,,,10,6,101,7,1,1,7,108,17,3,2,2,1,
Ethiopia,2012,AF,103,73,176,,,93,44,39,,,21,8,121,10,5,,11,150,16,4,1,5,,
Fiji,2009,IAP,37,25,62,,,,36,26,,,1,3,46,2,3,,7,47,10,1,2,2,,
Fiji,2010,IAP,34,31,65,,,,37,27,,1,1,2,49,2,3,1,7,44,11,2,3,4,1,
Fiji,2011,IAP,24,31,55,,,,35,20,,,1,1,43,3,2,1,4,43,6,2,1,2,1,
Fiji,2012,IAP,33,21,54,,,,14,36,,4,2,1,41,2,3,,5,38,4,3,2,7,,
Gambia,2009,AF,46,36,82,,,26,28,28,,,3,5,59,4,,,11,68,11,1,2,,,
Gambia,2010,AF,66,27,93,,,31,28,28,,6,2,2,70,5,1,,13,75,10,3,1,2,2,
Gambia,2011,AF,57,36,93,,,30,33,30,,,1,2,74,5,3,,8,74,12,4,,3,,
Gambia,2012,AF,51,43,94,,,42,30,19,,3,3,2,75,4,3,,7,70,10,4,2,7,1,
Georgia,2009,EMA,14,14,28,,10,18,,,,,1,,22,,,,5,24,1,,3,,,
Georgia,2010,EMA,33,30,63,,20,38,,,,5,1,1,52,,,,9,50,7,,3,3,,
Georgia,2011,EMA,43,30,73,,24,45,,,,4,1,2,58,2,1,1,8,45,15,2,3,8,,
Georgia,2012,EMA,49,32,81,,23,56,,,,2,3,2,64,1,1,1,9,49,12,5,5,9,1,
Ghana,2009,AF,88,80,168,,37,58,36,37,,,5,10,126,5,2,1,19,133,13,4,4,12,2,
Ghana,2010,AF,81,81,162,,33,62,35,32,,,6,12,118,6,3,,17,135,11,2,1,9,4,
Ghana,2011,AF,67,76,143,1,13,69,31,29,,,5,5,110,8,4,,11,124,14,,,3,2,
Ghana,2012,AF,83,66,149,10,9,61,25,42,,2,5,8,115,9,3,,9,124,8,1,4,10,2,
Guatemala,2009,IAP,136,73,209,45,42,,30,58,31,3,7,5,148,21,6,,22,197,10,2,,,,
Guatemala,2010,IAP,160,67,227,42,39,,32,83,31,,12,4,165,17,10,,19,213,11,,1,2,,
Guatemala,2011,IAP,178,67,245,37,23,,30,121,32,2,12,8,165,25,12,1,22,227,13,1,1,3,,
Guatemala,2012,IAP,67,28,95,16,4,,12,46,17,,4,4,60,13,5,,9,89,3,1,1,1,,
Guinea,2009,AF,53,41,94,,17,37,18,22,,,5,5,67,4,3,,10,85,7,,,2,,
Guinea,2010,AF,8,6,14,,1,2,,,,11,1,,10,,,,3,6,4,,1,2,1,
Guinea,2011,AF,22,9,31,,1,22,1,,,7,2,2,21,2,,,4,26,3,,,,2,
Guinea,2012,AF,51,28,79,,15,45,8,4,,7,4,6,55,5,3,,6,75,3,,,,1,
Guyana,2009,IAP,46,15,61,,,32,,27,,2,5,4,40,3,3,,6,50,3,3,3,2,,
Guyana,2010,IAP,37,22,59,,,30,,24,,5,4,4,39,1,3,,8,51,3,1,2,2,,
Guyana,2011,IAP,43,19,62,,,29,,27,,6,4,2,47,3,2,,4,50,8,1,,3,,
Guyana,2012,IAP,51,14,65,,,33,,24,,8,4,5,40,6,3,,7,54,8,1,,2,,
Haiti,2010,IAP,3,1,4,,,,,,,4,1,,1,,1,,1,1,3,,,,,
Honduras,2009,IAP,103,75,178,36,23,1,,56,32,30,4,6,126,21,6,1,14,162,10,,3,3,,
Honduras,2010,IAP,102,76,178,34,27,1,,53,30,33,3,6,125,21,9,1,13,165,9,,2,2,,
Honduras,2011,IAP,93,73,166,16,35,,,66,31,18,5,5,118,19,8,,11,153,10,,1,1,1,
Indonesia,2010,EMA,12,6,18,,,,,,,18,,3,11,1,,,3,17,,,,1,,
Indonesia,2011,EMA,25,18,43,,,43,,,,,2,5,27,2,3,,4,39,2,,,2,,
Indonesia,2012,EMA,36,30,66,,,66,,,,,2,6,46,5,3,,4,55,8,,,2,1,
Jamaica,2009,IAP,40,32,72,,,20,22,30,,,2,4,54,3,1,,8,47,6,5,7,6,1,
Jamaica,2010,IAP,42,39,81,,,23,19,25,,14,6,4,60,4,2,,5,50,10,5,4,11,1,
Jamaica,2011,IAP,37,21,58,,,34,13,11,,,6,2,45,1,1,,3,34,5,4,4,8,3,
Jamaica,2012,IAP,41,21,62,,,29,19,2,9,3,4,4,44,5,2,,3,48,1,1,6,4,2,
Jordan,2009,EMA,19,11,30,,,23,,7,,,1,2,17,3,,,7,28,2,,,,,
Jordan,2010,EMA,21,17,38,,,26,,12,,,1,3,25,3,,,6,27,2,1,2,5,1,
Jordan,2011,EMA,36,24,60,,,42,,18,,,3,6,39,5,1,,6,42,6,2,5,3,2,
Jordan,2012,EMA,36,23,59,,,41,,18,,,6,6,34,6,2,,5,48,5,2,3,1,,
Kazakhstan,2009,EMA,87,78,165,,23,111,31,,,,3,12,127,5,4,,14,147,11,4,,3,,
Kazakhstan,2010,EMA,103,64,167,,14,118,29,,,6,4,8,131,8,3,,13,149,13,3,1,1,,
Kazakhstan,2011,EMA,75,51,126,,3,100,16,,,7,3,5,101,5,2,,10,110,12,,3,1,,
Kenya,2009,AF,34,34,68,,20,22,,26,,,2,2,48,6,1,,9,52,8,,3,5,,
Kenya,2010,AF,58,48,106,,21,37,,48,,,3,8,77,6,4,,8,87,9,3,3,4,,
Kenya,2011,AF,80,52,132,,39,46,,45,,2,6,11,95,6,3,,11,106,13,2,4,6,1,
Kenya,2012,AF,83,40,123,,24,51,,48,,,7,11,90,7,1,,7,104,4,2,3,10,,
Kyrgyzstan,2012,EMA,41,39,80,,14,52,,14,,,2,8,55,5,4,,6,75,3,1,,,1,
Kyrgyzstan,2009,EMA,50,48,98,,20,61,,17,,,1,7,75,3,1,,11,85,5,2,1,5,,
Kyrgyzstan,2010,EMA,42,40,82,,19,49,,14,,,1,13,58,3,2,,5,71,8,1,,2,,
Kyrgyzstan,2011,EMA,47,42,89,,20,54,,15,,,,12,63,3,5,,6,78,7,1,,3,,
Lesotho,2009,AF,53,28,81,,15,43,,23,,,5,,60,4,1,,11,62,11,3,3,2,,
Lesotho,2010,AF,57,36,93,,20,45,,25,,3,9,2,64,5,5,,8,76,9,2,2,4,,
Lesotho,2011,AF,40,23,63,,20,20,,22,,1,9,2,46,1,3,,2,54,4,1,1,3,,
Lesotho,2012,AF,49,14,63,,21,21,,21,,,9,5,41,3,3,,2,51,2,1,4,5,,
Liberia,2009,AF,11,8,19,,,,,,,19,,1,13,,1,1,3,9,9,,,1,,
Liberia,2010,AF,12,8,20,,,14,,,,6,1,3,14,,,,2,16,3,,,1,,
Liberia,2011,AF,21,17,38,,,31,,,,7,,2,28,1,2,,5,35,1,1,1,,,
Liberia,2012,AF,31,32,63,,,53,,,,10,,4,48,4,3,1,3,52,6,,2,,3,
